epoch,step,train_loss_epoch
0,0,7364.47607421875
1,1,5288.48193359375
2,2,1999.0540771484375
3,3,1810.5384521484375
4,4,1901.239013671875
5,5,1661.8658447265625
6,6,1579.224853515625
7,7,1198.715576171875
8,8,905.3948364257812
9,9,782.3109130859375
