epoch,step,train_loss_epoch
0,0,3435.028076171875
1,1,3921.373779296875
2,2,3750.669677734375
3,3,2143.7197265625
4,4,1713.5086669921875
5,5,2471.846435546875
6,6,1989.9881591796875
7,7,2263.212158203125
8,8,1940.7806396484375
9,9,1555.5048828125
