epoch,step,train_loss_epoch
0,0,4890.33056640625
1,1,2466.626220703125
2,2,2076.1630859375
3,3,1853.6673583984375
4,4,1545.385498046875
5,5,1705.471923828125
6,6,1149.7647705078125
7,7,1142.108642578125
8,8,1089.384765625
9,9,999.57666015625
