open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-05 13:00:00,379.30000000,380.90000000,378.20000000,380.60000000,1575.37300000,1741183199999,598241.74030000,129,1043.84100000,396394.50800000,0
2025-03-05 14:00:00,380.60000000,383.60000000,375.40000000,379.70000000,6747.66900000,1741186799999,2560111.19180000,546,4319.57800000,1638138.97080000,0
2025-03-05 15:00:00,379.60000000,392.30000000,379.60000000,388.90000000,9153.21800000,1741190399999,3542678.83620000,808,6136.54600000,2373603.94140000,0
2025-03-05 16:00:00,388.90000000,394.80000000,384.10000000,390.20000000,8203.28700000,1741193999999,3178144.00800000,718,5450.02100000,2110213.32300000,0
2025-03-05 17:00:00,390.20000000,394.60000000,386.80000000,391.70000000,6586.52700000,1741197599999,2574354.79990000,549,4903.37600000,1916372.44460000,0
2025-03-05 18:00:00,391.80000000,391.80000000,386.40000000,390.10000000,4968.29500000,1741201199999,1931026.76930000,400,3469.49900000,1348146.97330000,0
2025-03-05 19:00:00,389.90000000,392.40000000,388.90000000,391.70000000,4546.24800000,1741204799999,1777224.38170000,347,3181.54300000,1243763.90030000,0
2025-03-05 20:00:00,391.70000000,395.40000000,390.40000000,391.20000000,4993.70200000,1741208399999,1962779.14320000,399,3258.68800000,1280771.40450000,0
2025-03-05 21:00:00,391.10000000,392.90000000,387.70000000,392.40000000,4204.86600000,1741211999999,1639576.29730000,338,3081.40900000,1201601.45970000,0
2025-03-05 22:00:00,392.50000000,393.20000000,389.70000000,391.00000000,3325.20600000,1741215599999,1301477.38100000,237,2400.32800000,939438.78410000,0
2025-03-05 23:00:00,391.10000000,395.80000000,391.10000000,391.20000000,4597.40700000,1741219199999,1810922.10660000,370,3231.33800000,1272971.04850000,0
2025-03-06 00:00:00,391.40000000,392.90000000,384.60000000,388.40000000,5417.41100000,1741222799999,2102647.12480000,428,3769.65800000,1462526.49740000,0
2025-03-06 01:00:00,388.40000000,399.30000000,388.40000000,394.40000000,5357.84600000,1741226399999,2108136.75040000,450,4084.26900000,1605466.03100000,0
2025-03-06 02:00:00,394.50000000,400.60000000,393.30000000,395.30000000,5725.53000000,1741229999999,2268037.75050000,470,3904.82700000,1546963.25240000,0
2025-03-06 03:00:00,395.30000000,398.70000000,392.60000000,395.30000000,4337.71200000,1741233599999,1717665.91940000,341,2973.52000000,1177468.51010000,0
2025-03-06 04:00:00,395.30000000,403.30000000,395.00000000,402.80000000,4733.59700000,1741237199999,1893009.01500000,379,3824.73800000,1529271.36450000,0
2025-03-06 05:00:00,402.80000000,418.00000000,402.00000000,407.00000000,5609.46500000,1741240799999,2295230.00410000,469,4149.30400000,1696348.93240000,0
2025-03-06 06:00:00,407.00000000,407.10000000,403.20000000,405.80000000,4613.74300000,1741244399999,1868743.29070000,379,2952.33600000,1195889.17950000,0
2025-03-06 07:00:00,405.80000000,406.20000000,403.00000000,404.20000000,4106.63800000,1741247999999,1661773.97600000,336,2827.80200000,1144430.61260000,0
