open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-06 02:00:00,2.51220000,2.52720000,2.50230000,2.52390000,2540173.00000000,1741229999999,6387929.88960000,1433,1793712.00000000,4510286.58800000,0
2025-03-06 03:00:00,2.52310000,2.52760000,2.50890000,2.51310000,2142495.00000000,1741233599999,5397886.50720000,1213,1379109.00000000,3474418.70840000,0
2025-03-06 04:00:00,2.51320000,2.53570000,2.50760000,2.53030000,2178862.00000000,1741237199999,5485485.52750000,1228,1521402.00000000,3829957.91710000,0
2025-03-06 05:00:00,2.53040000,2.55000000,2.51850000,2.52570000,2270419.00000000,1741240799999,5753912.52680000,1310,1321265.00000000,3347871.40190000,0
2025-03-06 06:00:00,2.52570000,2.52650000,2.50160000,2.50200000,1671038.00000000,1741244399999,4200552.13170000,934,1014124.00000000,2549530.53000000,0
2025-03-06 07:00:00,2.50210000,2.51570000,2.50160000,2.51290000,1840988.00000000,1741247999999,4616913.87430000,1023,1324054.00000000,3320489.26390000,0
2025-03-06 08:00:00,2.51230000,2.58920000,2.51230000,2.56740000,3054338.00000000,1741251599999,7785741.51720000,1789,2324992.00000000,5922063.33440000,0
2025-03-06 09:00:00,2.56740000,2.58910000,2.54190000,2.57380000,3022449.00000000,1741255199999,7760483.54740000,1768,1873864.00000000,4809740.26140000,0
2025-03-06 10:00:00,2.57390000,2.64030000,2.56980000,2.63120000,3204852.00000000,1741258799999,8388699.51540000,1964,2310562.00000000,6042621.57640000,0
2025-03-06 11:00:00,2.63120000,2.63260000,2.60870000,2.60980000,2424784.00000000,1741262399999,6352548.00100000,1421,1692891.00000000,4434027.87350000,0
2025-03-06 12:00:00,2.61000000,2.61480000,2.56840000,2.58280000,2678235.00000000,1741265999999,6925976.66620000,1571,1981818.00000000,5123584.06260000,0
2025-03-06 13:00:00,2.58280000,2.62270000,2.57320000,2.59410000,3098518.00000000,1741269599999,8048850.76000000,1849,1935040.00000000,5024703.06210000,0
2025-03-06 14:00:00,2.58810000,2.61100000,2.55410000,2.58130000,2953901.00000000,1741273199999,7638187.19250000,1780,2076684.00000000,5369826.51210000,0
2025-03-06 15:00:00,2.57940000,2.63310000,2.57920000,2.62450000,3061270.00000000,1741276799999,7996879.25120000,1899,2034871.00000000,5312869.00980000,0
2025-03-06 16:00:00,2.62470000,2.63430000,2.57270000,2.57270000,2917179.00000000,1741280399999,7618846.80810000,1782,1917204.00000000,5011499.61500000,0
2025-03-06 17:00:00,2.57240000,2.57710000,2.53230000,2.54690000,2923432.00000000,1741283999999,7479092.71700000,1710,2033184.00000000,5199290.40150000,0
2025-03-06 18:00:00,2.54670000,2.58290000,2.54670000,2.56690000,2784920.00000000,1741287599999,7147791.55950000,1597,1969014.00000000,5052770.03940000,0
2025-03-06 19:00:00,2.56510000,2.60690000,2.55400000,2.58400000,3116464.00000000,1741291199999,8018961.94430000,1825,2104646.00000000,5412295.65250000,0
2025-03-06 20:00:00,2.58290000,2.61020000,2.58290000,2.59980000,2814315.00000000,1741294799999,7309985.37360000,1654,2070952.00000000,5377835.67870000,0
2025-03-06 21:00:00,2.59790000,2.62080000,2.59470000,2.60200000,2219091.00000000,1741298399999,5778028.49140000,1279,1563807.00000000,4071733.45620000,0
2025-03-06 22:00:00,2.60130000,2.62500000,2.57790000,2.59300000,2326526.00000000,1741301999999,6047290.16890000,1359,1487296.00000000,3866124.32040000,0
2025-03-06 23:00:00,2.59300000,2.61340000,2.58170000,2.59950000,2235140.00000000,1741305599999,5809187.13030000,1299,1565626.00000000,4068791.93820000,0
2025-03-07 00:00:00,2.60010000,2.61860000,2.38570000,2.40850000,2947550.00000000,1741309199999,7329284.67330000,1843,1962939.00000000,4871155.51680000,0
2025-03-07 01:00:00,2.40840000,2.49470000,2.40060000,2.48450000,3029176.00000000,1741312799999,7458665.08160000,1823,2202574.00000000,5418554.86630000,0
2025-03-07 02:00:00,2.48500000,2.52270000,2.45890000,2.48620000,3343645.00000000,1741316399999,8299675.38680000,1944,2063863.00000000,5123543.45030000,0
2025-03-07 03:00:00,2.48460000,2.49750000,2.47000000,2.47000000,2906278.00000000,1741319999999,7222888.56150000,1755,2050894.00000000,5097508.09120000,0
2025-03-07 04:00:00,2.47000000,2.49720000,2.46870000,2.48580000,2518668.00000000,1741323599999,6257021.96400000,1497,1762333.00000000,4377054.85130000,0
2025-03-07 05:00:00,2.48590000,2.51600000,2.48300000,2.50430000,2419493.00000000,1741327199999,6050081.83690000,1440,1760525.00000000,4401463.24550000,0
2025-03-07 06:00:00,2.50490000,2.50520000,2.48300000,2.48810000,2074760.00000000,1741330799999,5168036.08560000,1158,1419850.00000000,3535839.96490000,0
2025-03-07 07:00:00,2.48820000,2.50470000,2.48300000,2.50380000,1932498.00000000,1741334399999,4819414.25860000,1102,1287594.00000000,3210805.25520000,0
2025-03-07 08:00:00,2.50370000,2.51500000,2.49420000,2.51470000,2202786.00000000,1741337999999,5512480.58140000,1274,1524371.00000000,3814955.09250000,0
