open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-05 13:00:00,103.05000000,103.05000000,102.14000000,102.85000000,11113.88900000,1741183199999,1139330.29928000,248,8171.00800000,837463.65793000,0
2025-03-05 14:00:00,102.78000000,102.99000000,101.44000000,101.66000000,47390.09300000,1741186799999,4849408.80979000,1066,29807.34800000,3051145.57542000,0
2025-03-05 15:00:00,101.66000000,102.49000000,100.73000000,101.97000000,43016.35800000,1741190399999,4373777.49453000,951,27578.76900000,2802479.18610000,0
2025-03-05 16:00:00,101.98000000,102.63000000,101.50000000,102.48000000,42478.09300000,1741193999999,4335889.61593000,937,28186.27200000,2876144.05086000,0
2025-03-05 17:00:00,102.45000000,104.31000000,102.29000000,103.54000000,41487.98900000,1741197599999,4280904.73671000,936,28368.92400000,2927310.11101000,0
2025-03-05 18:00:00,103.53000000,103.98000000,103.04000000,103.91000000,41502.40100000,1741201199999,4290660.43653000,934,27085.28500000,2800443.92500000,0
2025-03-05 19:00:00,103.87000000,104.61000000,103.53000000,104.01000000,33889.66600000,1741204799999,3525407.55198000,817,21501.29900000,2236685.03760000,0
2025-03-05 20:00:00,104.03000000,105.16000000,103.84000000,104.72000000,29439.94500000,1741208399999,3074157.93082000,658,21427.91000000,2237743.22696000,0
2025-03-05 21:00:00,104.71000000,105.22000000,104.23000000,105.11000000,29827.12000000,1741211999999,3125214.19797000,663,21137.76300000,2214585.87968000,0
2025-03-05 22:00:00,105.07000000,105.12000000,104.54000000,105.03000000,21527.73400000,1741215599999,2256533.35168000,466,14986.79500000,1570815.84091000,0
2025-03-05 23:00:00,105.04000000,105.16000000,104.56000000,104.74000000,30180.29900000,1741219199999,3165247.99376000,671,21719.09000000,2277905.25338000,0
2025-03-06 00:00:00,104.73000000,104.85000000,103.68000000,103.85000000,31691.22000000,1741222799999,3300570.17388000,732,18825.17800000,1960234.89559000,0
2025-03-06 01:00:00,103.83000000,106.04000000,103.83000000,105.27000000,34702.73200000,1741226399999,3632913.16223000,796,26394.88500000,2762259.58893000,0
2025-03-06 02:00:00,105.28000000,106.95000000,105.27000000,106.95000000,35211.42600000,1741229999999,3728926.67627000,825,27962.30400000,2961976.20516000,0
2025-03-06 03:00:00,106.91000000,107.57000000,106.64000000,107.34000000,30252.07200000,1741233599999,3238982.26240000,687,21720.74900000,2325270.80731000,0
2025-03-06 04:00:00,107.35000000,109.87000000,107.06000000,109.66000000,40695.92300000,1741237199999,4414271.38061000,967,31399.42000000,3405407.37755000,0
2025-03-06 05:00:00,109.48000000,112.94000000,109.27000000,110.30000000,44185.35000000,1741240799999,4917642.10733000,1104,28697.41500000,3190823.60870000,0
2025-03-06 06:00:00,110.22000000,110.38000000,108.46000000,108.54000000,36513.21200000,1741244399999,3997183.70223000,872,21073.75400000,2307355.34440000,0
2025-03-06 07:00:00,108.54000000,108.87000000,107.27000000,108.14000000,34564.37300000,1741247999999,3738475.41777000,828,21679.30000000,2345558.53040000,0
2025-03-06 08:00:00,108.11000000,109.64000000,107.85000000,109.35000000,36497.15500000,1741251599999,3968342.74074000,874,26181.31200000,2846226.06296000,0
2025-03-06 09:00:00,109.35000000,109.35000000,107.37000000,107.62000000,37443.35400000,1741255199999,4050628.83431000,888,22606.65800000,2443510.87548000,0
2025-03-06 10:00:00,107.64000000,108.73000000,107.37000000,108.23000000,35968.07800000,1741258799999,3889536.12365000,883,22973.24400000,2484125.45232000,0
2025-03-06 11:00:00,108.24000000,108.34000000,107.11000000,107.21000000,28192.84200000,1741262399999,3033890.66611000,643,15900.76300000,1710899.18244000,0
